teks,sumber,sentimen
"com — Fatechul Mujib (36), pengusaha tahu di Kabupaten Semarang ini mengaku sudah tidak mengambil untung dari hasil penjualan tahu imbas naiknya harga kedelai impor",Media (Kompas),neutral
"Pemilik Pabrik Tahu Sutra Kuring di Kecamatan Tengaran itu mengaku, saat ini usahanya bertahan berkat penjualan ampas tahu yang merupakan hasil sampingan proses produksi",Media (Kompas),neutral
"""Bahkan kalau dihitung sekarang, kami tidak mengambil untung dari penjualan tahu",Media (Kompas),negative
"Justru yang masih membantu usaha tetap berjalan itu dari penjualan ampas tahu,"" kata Mujib, Jumat (6/6/2026)",Media (Kompas),neutral
"Menurut dia, biaya produksi terus meningkat dalam beberapa bulan terakhir seiring naiknya harga kedelai impor yang menjadi bahan baku utama pembuatan tahu",Media (Kompas),neutral
"Mujib merasakan, harga kedelai mulai berangsur naik terdampak penguatan dolar AS",Media (Kompas),neutral
"Sebelumnya, harga kedelai di angka Rp 9",Media (Kompas),neutral
000 per kilogram kini menjadi Rp 11,Media (Kompas),neutral
Baca juga: Rupiah Anjlok ke Rp 18,Media (Kompas),neutral
"000 Per Dolar AS, Pimpinan DPR Desak Purbaya dan BI Segera Konsolidasi ""Kalau untuk kenaikan kedelai premium untuk tahu sutra seblum dolar naik masih sekitar Rp 9",Media (Kompas),neutral
000 sekarang sudah Rp 11,Media (Kompas),neutral
"000, sedangkan plastik sudah (naik) hampir 100 persen,"" ujarnya",Media (Kompas),neutral
"Meski biaya produksi membengkak, pabrik tahu milik Mujib tetap mempertahankan harga jual Rp 10",Media (Kompas),neutral
000 per kotak berisi 10 potong tahu,Media (Kompas),neutral
Keputusan tersebut diambil untuk menjaga pelanggan yang mayoritas berasal dari pasar tradisional,Media (Kompas),neutral
"Menurut Mujib, kondisi pasar saat ini sedang lesu sehingga produsen tidak memiliki ruang yang cukup untuk menaikkan harga jual",Media (Kompas),neutral
"""Kalau harga dinaikkan, kami khawatir pelanggan berkurang",Media (Kompas),negative
"Apalagi banyak produsen tahu lain yang juga memilih menahan harga karena takut kehilangan pembeli,"" ujarnya",Media (Kompas),negative
Baca juga: Kedelai Melonjak hingga Rp 10,Media (Kompas),neutral
"700 Per Kg, Penjual Tahu Resah: Naikkan Harga atau Kecilkan Ukuran Akibatnya, selisih antara biaya produksi dan harga jual semakin tipis",Media (Kompas),negative
"Dalam beberapa periode produksi, pendapatan yang diperoleh dari penjualan tahu hanya cukup untuk menutup biaya operasional",Media (Kompas),neutral
"Dalam kondisi tersebut, ampas tahu justru menjadi penopang tambahan pendapatan",Media (Kompas),neutral
Produk sampingan yang umum dimanfaatkan sebagai pakan ternak itu masih memiliki nilai ekonomi dan membantu mengurangi tekanan keuangan perusahaan,Media (Kompas),positive
"com - Nilai tukar Rupiah hari ini, Rabu (10/6/2026) pukul 09",Media (Kompas),neutral
37 WIB menguat di angka Rp 17,Media (Kompas),neutral
"Sementara Indeks Harga Saham Gabungan (IHSG) hari ini menguat 1,79  persen ke 5",Media (Kompas),neutral
Tren penguatan dollar AS terhadap rupiah membuat nilai tukar mata uang Indonesia tak stabil,Media (Kompas),neutral
"Berikut nilai tukar rupiah ke dollar AS hari ini di bank Mandiri, BCA, dan BNI, Rabu (10/6/2026) pukul 09",Media (Kompas),neutral
Baca juga: Efek BI Rate: Rupiah Pagi Menguat ke Level 17,Media (Kompas),neutral
"908, IHSG Naik ke Kisaran 5",Media (Kompas),neutral
"800 BCA e-Rate TT Counter Bank notes Catatan: Baca juga: Di Balik Pelemahan Rupiah: Ketika Faktor Global Bertemu Masalah Domestik Bank Mandiri Special rate TT Counter Bank notes Catatan:  Baca juga: Mengapa Pelemahan Rupiah Saat Ini Berbeda dari Krisis 1998? Bank BNI SAMARINDA, KOMPAS",Media (Kompas),neutral
com - Nilai tukar rupiah kembali tertekan terhadap dolar Amerika Serikat hingga menembus Rp 17,Media (Kompas),neutral
688 pada perdagangan Kamis (21/5/2026),Media (Kompas),neutral
Kondisi tersebut mulai memberi tekanan serius terhadap industri pertambangan batu bara di Kalimantan Timur (Kaltim),Media (Kompas),neutral
"Kenaikan kurs dolar disebut berdampak langsung terhadap biaya operasional perusahaan tambang, terutama pada kebutuhan bahan bakar minyak (BBM) jenis solar yang menjadi komponen utama aktivitas produksi di lapangan",Media (Kompas),neutral
"Wakil Ketua Umum Kamar Dagang dan Industri Indonesia (KADIN) Kaltim, Adnan Faridhan mengatakan, pelemahan rupiah menjadi pukulan berat bagi sektor ekstraktif di Bumi Etam",Media (Kompas),neutral
"Baca juga: Rupiah Anjlok, Perajin UMKM Tas Aceh Keluhkan Kenaikan Bahan Baku: Berat Kami",Media (Kompas),neutral
"Menurutnya, ketergantungan Indonesia terhadap impor minyak membuat kenaikan dolar otomatis memicu lonjakan harga BBM",Media (Kompas),neutral
“Minyak kita masih impor dan transaksinya menggunakan dolar,Media (Kompas),neutral
"Begitu dolar naik, harga BBM otomatis ikut meroket",Media (Kompas),neutral
"Bayangkan, biaya bahan bakar itu porsinya bisa mencapai 40 hingga 45 persen dari total biaya produksi,” ujar Adnan Faridhan, Kamis (21/5/2026) Meski harga batu bara dunia saat ini masih berada di level yang cukup baik, kondisi tersebut belum mampu sepenuhnya menutupi lonjakan biaya operasional yang terus membengkak",Media (Kompas),neutral
Perusahaan tambang pun disebut mulai menerapkan berbagai strategi efisiensi agar tetap bisa bertahan di tengah tekanan biaya produksi yang semakin tinggi,Media (Kompas),neutral
"Di lapangan, sejumlah langkah penghematan mulai dilakukan",Media (Kompas),neutral
"Mulai dari audit operasional yang lebih ketat, penghitungan jarak pengupasan overburden (OB) secara lebih presisi, hingga penyesuaian stripping ratio agar kegiatan tambang tetap ekonomis",Media (Kompas),neutral
"Kondisi paling berat, kata Adnan Faridhan, dialami kontraktor tambang yang masih terikat kontrak lama saat harga solar dan kurs dolar belum setinggi saat ini",Media (Kompas),neutral
"Baca juga: Industri Tekstil Tertekan Pelemahan Rupiah, Asosiasi Usulkan Kebijakan Ini “Efisiensi dan strategi dalam operasional tambang juga kini ikut dalam tanda kutip dipangkas,” katanya",Media (Kompas),neutral
"Namun demikian, Adnan Faridhan menilai persoalan kurs dolar bukan satu-satunya ancaman bagi industri tambang di Kaltim",Media (Kompas),neutral
Ia justru menyoroti persoalan revisi Rencana Kerja dan Anggaran Biaya (RKAB) yang dinilai masih menjadi hambatan utama di tingkat pusat,Media (Kompas),neutral
"Menurutnya, banyak perusahaan tambang saat ini menghadapi pembatasan volume produksi akibat kebijakan RKAB yang tidak sesuai dengan pengajuan awal perusahaan",Media (Kompas),neutral
“Masalah utama sebenarnya di RKAB,Media (Kompas),neutral
"Percuma harga bagus kalau kuota produksinya dibatasi, otomatis penjualan kita juga terbatas",Media (Kompas),negative
"Ini yang membuat laju ekonomi industri kita tersendat,” tegasnya",Media (Kompas),negative
"Ia mengingatkan, perlambatan industri batu bara akan berdampak langsung terhadap ekonomi daerah di Kaltim yang selama ini masih sangat bergantung pada sektor pertambangan",Media (Kompas),neutral
Adnan Faridhan mencontohkan Kabupaten Kutai Timur yang mulai merasakan perlambatan pertumbuhan ekonomi akibat dinamika sektor tambang,Media (Kompas),neutral
"Padahal, sektor batu bara selama ini menjadi salah satu penyumbang terbesar pendapatan negara melalui pajak maupun Penerimaan Negara Bukan Pajak (PNBP), mulai dari PPN, PPh hingga royalti tambang",Media (Kompas),neutral
"Karena itu, KADIN Kaltim meminta pemerintah mulai serius mendorong hilirisasi dan menyiapkan industri alternatif agar perekonomian daerah tidak terus bergantung pada fluktuasi harga komoditas mentah",Media (Kompas),neutral
“Pemerintah harus serius menyiapkan industri alternatif dari sekarang,Media (Kompas),neutral
"Jika kita terus bergantung pada fluktuasi dolar dan harga komoditas tanpa ada nilai tambah (hilirisasi), ekonomi kita akan selalu rentan,” katanya",Media (Kompas),negative
"com — Superbrands, lembaga arbiter internasional untuk brand terkemuka bersama lembaga survei Nielsen kembali memberikan apresiasi kepada merek-merek terbaik Indonesia",Media (Kompas),neutral
"Untuk kategori Trusted Online Media (media online tepercaya), Kompas",Media (Kompas),neutral
com tampil sebagai pemenang di antara ribuan media online yang tumbuh dan berkembang di era digital di Indonesia,Media (Kompas),neutral
"Pada 2018, Dewan Pers mencatat, setidaknya ada 43",Media (Kompas),neutral
000 media online di Indonesia,Media (Kompas),neutral
"Dari puluhan ribu media online itu, tidak lebih dari 200 media online yang dikategorikan terverifikasi",Media (Kompas),neutral
Pengumuman pemenang dan pemberian penghargaan kepada Kompas,Media (Kompas),neutral
"com sebagai media online tepercaya dilakukan pada Gala Awards Superbrands 2019 di Ballroom 1, Sheraton Gandaria, Jakarta, Jumat, 26 Juli 2019",Media (Kompas),neutral
Superbrands adalah lembaga yang sudah berdiri selama lebih dari 26 tahun di lebih dari 86 negara,Media (Kompas),neutral
Atas pengakuan dan penghargaan Superbrands 2019 untuk Kompas,Media (Kompas),neutral
"com sebagai media online tepercaya ini, Pemimpin Redaksi Kompas",Media (Kompas),neutral
com Wisnu Nugroho mengucapkan terima kasih khususnya kepada para pembaca,Media (Kompas),neutral
“Pengakuan dan penghargaan ini adalah peneguh atas upaya jurnalistik Kompas,Media (Kompas),neutral
